pathway,gene
N00513,ENSG00000157764
N00513,ENSG00000132155
N00513,ENSG00000169032
N00513,ENSG00000126934
N00513,ENSG00000100030
N00513,ENSG00000102882
N00513,ENSG00000110092
N00514,ENSG00000146648
N00514,ENSG00000121879
N00514,ENSG00000051382
N00514,ENSG00000171608
N00514,ENSG00000142208
N00514,ENSG00000105221
N00514,ENSG00000117020
N00514,ENSG00000002330
N00008,ENSG00000165731
N00008,ENSG00000174775
N00008,ENSG00000133703
N00008,ENSG00000213281
N00008,ENSG00000078061
N00008,ENSG00000157764
N00008,ENSG00000132155
N00008,ENSG00000169032
N00008,ENSG00000126934
N00008,ENSG00000100030
N00008,ENSG00000102882
N00009,ENSG00000198400
N00009,ENSG00000174775
N00009,ENSG00000133703
N00009,ENSG00000213281
N00009,ENSG00000078061
N00009,ENSG00000157764
N00009,ENSG00000132155
N00009,ENSG00000169032
N00009,ENSG00000126934
N00009,ENSG00000100030
N00009,ENSG00000102882
N00013,ENSG00000157764
N00013,ENSG00000169032
N00013,ENSG00000126934
N00013,ENSG00000100030
N00013,ENSG00000102882
N00061,ENSG00000039068
N00061,ENSG00000168036
N00061,ENSG00000081059
N00061,ENSG00000152284
N00061,ENSG00000148737
N00061,ENSG00000138795
N00061,ENSG00000136997
N00061,ENSG00000110092
N00126,ENSG00000125618
N00126,ENSG00000186350
N00126,ENSG00000204231
N00126,ENSG00000143171
N00126,ENSG00000132170
N00002,ENSG00000097007
N00002,ENSG00000177885
N00002,ENSG00000115904
N00002,ENSG00000100485
N00002,ENSG00000174775
N00002,ENSG00000133703
N00002,ENSG00000213281
N00002,ENSG00000078061
N00002,ENSG00000157764
N00002,ENSG00000132155
N00002,ENSG00000169032
N00002,ENSG00000126934
N00002,ENSG00000100030
N00002,ENSG00000102882
N00048,ENSG00000097007
N00048,ENSG00000099942
N00048,ENSG00000110395
N00048,ENSG00000167193
N00048,ENSG00000121879
N00048,ENSG00000051382
N00048,ENSG00000171608
N00048,ENSG00000142208
N00048,ENSG00000105221
N00048,ENSG00000117020
N00048,ENSG00000002330
N00055,ENSG00000097007
N00055,ENSG00000126561
N00055,ENSG00000173757
N00055,ENSG00000171552
N00106,ENSG00000159216
N00106,ENSG00000166949
N00106,ENSG00000141646
N00107,ENSG00000085276
N00107,ENSG00000166949
N00107,ENSG00000141646
N00010,ENSG00000185920
N00010,ENSG00000128602
N00010,ENSG00000107882
N00010,ENSG00000166813
N00010,ENSG00000111087
N00010,ENSG00000074047
N00010,ENSG00000106571
N00010,ENSG00000125845
N00010,ENSG00000125378
N00010,ENSG00000164161
N00010,ENSG00000117425
N00010,ENSG00000125084
N00010,ENSG00000105989
N00010,ENSG00000134245
N00010,ENSG00000108379
N00010,ENSG00000154342
N00010,ENSG00000162552
N00010,ENSG00000114251
N00010,ENSG00000111186
N00010,ENSG00000115596
N00010,ENSG00000154764
N00010,ENSG00000188064
N00010,ENSG00000061492
N00010,ENSG00000075290
N00010,ENSG00000143816
N00010,ENSG00000158955
N00010,ENSG00000135925
N00010,ENSG00000169884
N00010,ENSG00000002745
N00017,ENSG00000128602
N00017,ENSG00000107882
N00017,ENSG00000166813
N00017,ENSG00000111087
N00017,ENSG00000074047
N00017,ENSG00000106571
N00017,ENSG00000125845
N00017,ENSG00000125378
N00017,ENSG00000164161
N00017,ENSG00000185920
N00017,ENSG00000117425
N00017,ENSG00000125084
N00017,ENSG00000105989
N00017,ENSG00000134245
